USERID,BIRTHYEAR,SEX,DEPT,OCCUPATION,CODE01,REDR_TYPE_NAME
cb984d35526c9688e929edff64df83d9,1999.0,女,管理科学与工程学院,管理科学与工程类(含管理科学、信息管理与信息系统和大数据管理与应用),2019,本科生
f0ac0e81ffd79f685e8b8dfcae4989c0,2001.0,女,国际商学院,财务管理,2019,本科生
e66402aa2ac65213913a01e898645c58,1999.0,女,人文与传播学院,新闻学,2018,本科生
da424572115179080acdb1a25b787bac,2002.0,男,会计学院,会计学(国际会计方向),2020,本科生
cdf0d1a5b817d8b29233d6aee2f85c48,2001.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
00d2f27f89e9820ae1f0c1e0e6043ad6,1999.0,女,财政税务学院,财政学类(含财政学和税收学),2018,本科生
b9be317cf041e0ce6a1da513adaa2370,2000.0,女,财政税务学院,财政学类(含财政学和税收学),2018,本科生
ce3fa77ccfe78be2ff7d8002c58f42c8,2001.0,女,财政税务学院,财政学类(含财政学和税收学),2019,本科生
cf798862389bd8d5bdf326f1551316cf,2002.0,女,工商管理学院,工商管理类(含工商管理、市场营销和人力资源管理),2020,本科生
e30a5162d57ab78b27d3f275aeba9f0a,1996.0,女,国际经济贸易学院,国际商务,2018,研究生
002c209866808957511a8e2617ffdddb,2001.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
c99c6db729970ddc256db1ef9d9aade0,1999.0,女,国际商学院,会计学(与澳大利亚科廷大学合作办学项目),2017,本科生
27bae9f41fa0beec51f0ac3bb535bff8,1999.0,女,金融学院,保险,2020,研究生
8c6c8edc13267f55a06b1583d2921400,1996.0,男,金融学院,金融,2020,研究生
fd420dcb46cfc949cce9337f4f2bfc7d,2002.0,男,管理科学与工程学院,电子商务,2020,本科生
9ef4c4c4c74527b67127740d5dcbe808,1993.0,女,公共管理学院,行政管理,2019,研究生
6e9216e6047b6abd09d1531afa77dc34,1996.0,男,金融学院,保险学,2020,研究生
24d6778d43a52172ee86499f5b3d591d,1998.0,男,萨里国际学院,工商管理(跨国公司),2016,本科生
9c7006ae43be06b39301dbf19b8ff1d7,1987.0,女,投资工程管理学院,工程管理,2018,研究生
99888a105ce8d46900f3e77337a1fb2f,2002.0,女,管理科学与工程学院,管理科学与工程类(含管理科学、信息管理与信息系统和大数据管理与应用),2020,本科生
ca4804a4e5cdce39b1d8a30d9be7c20e,1978.0,男,网络信息管理中心,,2020,教工
41e4cfe46ba6e5b67d9e0f86bdaa4666,1992.0,女,高等职业技术学院,金融学,2016,本科生
67bd292d806c188ab7797d22360f9baa,1996.0,女,人文与传播学院,新闻学,2014,本科生
65786e374d02d1a7ebfe8cb18211a76d,1998.0,女,投资工程管理学院,国民经济学,2020,研究生
f39472674226cf1bb6a1659fa59e722c,1998.0,女,高等职业技术学院,国际经济与贸易,2020,本科生
1de9069673e45c0abf61a87a8ad73737,2000.0,女,国际商学院,会计学(与澳大利亚科廷大学合作办学项目),2018,本科生
3d446285a29848e63d928b91e0d9d6d0,2000.0,女,投资工程管理学院,管理科学与工程类(含工程管理和房地产开发与管理),2018,本科生
32ca776b78f32b5f5815aea6dbaa6d16,1996.0,男,会计学院,财务管理,2018,研究生
9900d18c4b331f4d546ea79cf2585edf,2000.0,女,萨里国际学院,财务管理(萨里国际学院专业),2019,本科生
6d3612369f347951394a28021d57914f,2000.0,女,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2019,本科生
88f8bdbe65ff78dfb518dc0a59296e9a,2000.0,女,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2019,本科生
c35ac93d953e11cc0e650c6930b66c2b,2002.0,女,会计学院,工商管类(含会计学、财务管理和资产评估),2020,本科生
f79caa3464964a6e50e64c50b152fd91,1997.0,女,高等职业技术学院,国际经济与贸易,2019,本科生
52a44f831900bab5aecd43cfa0ed7ecb,1988.0,女,研究生院,工商管理,2017,研究生
c68e066319e20a9d791b1246cda79ecc,1997.0,女,国际商务外语学院,英语笔译,2020,研究生
38025c917a55748a4f659c6ad3012526,1997.0,女,金融学院,金融,2020,研究生
b192436a89b754a9e181c851c0c72c00,2000.0,女,国际商学院,经济学,2018,本科生
7c01695db9d1680bb6ec30da13c867fe,1993.0,男,公共管理学院,行政管理,2020,研究生
44fb281461cc92e96f8b5048f1368177,1996.0,女,高等职业技术学院,国际经济与贸易,2018,本科生
6832860b6b171ddc336d62e8915e1b56,1997.0,女,会计学院,审计,2019,研究生
86ce7f399d92afead6f8b078b9bbf565,1996.0,女,高等职业技术学院,国际经济与贸易,2018,本科生
c6395940a31123e280f09cdf5c1e420e,1988.0,女,经济学院,产业经济学,2019,研究生
ad1dc96fe2e40d37f2a6a9b8550b2aa0,1998.0,男,国际商学院,金融学(国际商学院专业),2016,本科生
9e20855690f6b7bc0af0ca02ed2bb788,2002.0,女,统计学院,经济统计学,2020,本科生
10ce2c246436a519418dccbe22518ce7,1996.0,女,金融学院,金融工程,2015,本科生
65f8d92bfc49c1ac57bfe0fe88cc0372,1996.0,女,金融学院,金融学,2014,本科生
30a3a77e14859473938f81515fc9c598,1992.0,女,金融学院,金融硕士,2016,研究生
0e225f1d53dcca646d039f94bb9505ae,1996.0,男,高等职业技术学院,金融学,2018,本科生
621c3bf5a701206a70c2cd57ffc1c863,1995.0,女,高等职业技术学院,金融学,2018,本科生
c1e17d0e77ec0c112fc121377643d57b,1995.0,女,会计学院,会计学(注册会计师方向),2014,本科生
